t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked,returned_depth,returned_serial,resumed_parent_depth,resumed_parent_serial
18.352080,UC_EMU_START_RETURN,1,3,0x92F94,0x2FED7,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.522090,UC_EMU_START_RETURN,1,3,0x92DB4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.672565,UC_EMU_START_RETURN,1,3,0x92D04,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
18.860364,UC_EMU_START_RETURN,1,3,0x92CDC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.061613,UC_EMU_START_RETURN,1,3,0x92F44,0x73,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.156866,UC_EMU_START_RETURN,1,3,0xA40C4,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.229061,UC_EMU_START_RETURN,1,3,0xA40BC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.303416,UC_EMU_START_RETURN,1,3,0xA40D0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.377638,UC_EMU_START_RETURN,1,3,0xA40C8,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.454132,UC_EMU_START_RETURN,1,3,0xA40C0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.529408,UC_EMU_START_RETURN,1,3,0xA40B8,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.623432,UC_EMU_START_RETURN,1,3,0xA40CC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.712849,UC_EMU_START_RETURN,1,3,0xA40C4,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.785964,UC_EMU_START_RETURN,1,3,0xA40BC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
19.855919,UC_EMU_START_RETURN,1,3,0xA40D0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
25.387360,BR_EXIT_ENTER,1,3,0x28025C,0xA2548,0x27FB48,0x2B0D28,0x800001D3,0,exit,0,0,0,0,0,0,0
26.841737,RUN_CODE_ENTER,2,4,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
