seq,pc,off,insn,desc,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,sp,lr,cpsr,note,mem
87,0x9D1F4,0x1D1F4,0x11A00004,"w=0x11A00004",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
88,0x9D1F8,0x1D1F8,0x1BFFEABD,"BL 0x97CF4",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
89,0x9D1FC,0x1D1FC,0xE5941014,"LDR r1,[r4,#0x14]",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A8278/4"
90,0x9D200,0x1D200,0xE3A00008,"w=0xE3A00008",0x0,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
91,0x9D204,0x1D204,0xE5810008,"w=0xE5810008",0x8,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","W:0x2A84D4/4"
92,0x9D208,0x1D208,0xE59D000C,"LDR r0,[sp,#0xC]",0x8,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x27F9AC/4"
93,0x9D20C,0x1D20C,0xE5941014,"LDR r1,[r4,#0x14]",0x2AF908,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A8278/4"
94,0x9D210,0x1D210,0xE581000C,"w=0xE581000C",0x2AF908,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","W:0x2A84D8/4"
95,0x9D214,0x1D214,0xE5960008,"w=0xE5960008",0x2AF908,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A84BC/4"
96,0x9D218,0x1D218,0xE3100004,"TST r0,#0x4",0x1,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
97,0x9D21C,0x1D21C,0x01A00008,"w=0x01A00008",0x1,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
98,0x9D220,0x1D220,0x028DD010,"w=0x028DD010",0x2AC9D4,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
99,0x9D224,0x1D224,0x08BD8DF0,"LDMFD sp!,{..pc} list=0x8DF0",0x2AC9D4,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9B0,0x9D0E0,0x600001D3,"","R:0x27F9B0/4"
100,0x972BC,0x172BC,0xE1A02000,"MOV r2,r0",0x2AC9D4,0x2A84CC,0xFFFFFFFF,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x9D0E0,0x600001D3,"",""
101,0x972C0,0x172C0,0xE1A00004,"MOV r0,r4",0x2AC9D4,0x2A84CC,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x9D0E0,0x600001D3,"",""
102,0x972C4,0x172C4,0xE1A01006,"MOV r1,r6",0x2A8264,0x2A84CC,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x9D0E0,0x600001D3,"",""
103,0x972C8,0x172C8,0xEB00007E,"BL 0x974C8",0x2A8264,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x9D0E0,0x600001D3,"",""
104,0x974C8,0x174C8,0xE92D4070,"STMFD sp!,{..} list=0x4070",0x2A8264,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x972CC,0x600001D3,"enter_174c8 lr=0x972CC","W:0x27F9C0/4"
105,0x974CC,0x174CC,0xE1A04000,"MOV r4,r0",0x2A8264,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
106,0x974D0,0x174D0,0xE5D00030,"LDRB r0,[r0,#0x30]",0x2A8264,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","R:0x2A8294/1"
107,0x974D4,0x174D4,0xE1A05001,"MOV r5,r1",0x0,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
108,0x974D8,0x174D8,0xE3100002,"TST r0,#0x2",0x0,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
109,0x974DC,0x174DC,0x0A000016,"Bcond 0x9753C",0x0,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
110,0x9753C,0x1753C,0xE5941014,"LDR r1,[r4,#0x14]",0x0,0xFFFFFFFF,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","R:0x2A8278/4"
111,0x97540,0x17540,0xE594000C,"LDR r0,[r4,#0xC]",0x0,0x2A84CC,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","R:0x2A8270/4"
112,0x97544,0x17544,0xE2411018,"w=0xE2411018",0x2AC9D4,0x2A84CC,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
113,0x97548,0x17548,0xE5841014,"STR r1,[r4,#0x14]",0x2AC9D4,0x2A84B4,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","W:0x2A8278/4"
114,0x9754C,0x1754C,0xE5911000,"w=0xE5911000",0x2AC9D4,0x2A84B4,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","R:0x2A84B4/4"
115,0x97550,0x17550,0xE2400008,"w=0xE2400008",0x2AC9D4,0x2AC984,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
116,0x97554,0x17554,0xE584100C,"STR r1,[r4,#0xC]",0x2AC9CC,0x2AC984,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"","W:0x2A8270/4"
117,0x97558,0x17558,0xEA000008,"Bcond 0x97580",0x2AC9CC,0x2AC984,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
118,0x97580,0x17580,0xE3550000,"CMP r5,#0x0",0x2AC9CC,0x2AC984,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
119,0x97584,0x17584,0x15941008,"w=0x15941008",0x2AC9CC,0x2AC984,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0xA00001D3,"","R:0x2A826C/4"
120,0x97588,0x17588,0x11510002,"w=0x11510002",0x2AC9CC,0x2AC9D4,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0xA00001D3,"",""
121,0x9758C,0x1758C,0x8AFFFFF2,"Bcond 0x9755C",0x2AC9CC,0x2AC9D4,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
122,0x97590,0x17590,0xE2452001,"w=0xE2452001",0x2AC9CC,0x2AC9D4,0x2AC9D4,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
123,0x97594,0x17594,0xE3550000,"CMP r5,#0x0",0x2AC9CC,0x2AC9D4,0xFFFFFFFE,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0x600001D3,"",""
124,0x97598,0x17598,0xDA000005,"Bcond 0x975B4",0x2AC9CC,0x2AC9D4,0xFFFFFFFE,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0xA00001D3,"",""
125,0x975B4,0x175B4,0xE5840008,"STR r0,[r4,#0x8]",0x2AC9CC,0x2AC9D4,0xFFFFFFFE,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0xA00001D3,"","W:0x2A826C/4"
126,0x975B8,0x175B8,0xE8BD8070,"LDMFD sp!,{..pc} list=0x8070",0x2AC9CC,0x2AC9D4,0xFFFFFFFE,0xC,0x2A8264,0xFFFFFFFF,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9C0,0x972CC,0xA00001D3,"","R:0x27F9C0/4"
127,0x972CC,0x172CC,0xE1D402BE,"w=0xE1D402BE",0x2AC9CC,0x2AC9D4,0xFFFFFFFE,0xC,0x2A8264,0x2A839C,0xFFFFFFFF,0x0,0x0,0x280400,0x1,0x0,0x2E3099,0x27F9D0,0x972CC,0xA00001D3,"",""
