mrp_zip_path,member,unpacked_size,sha256,is_mrpgcmap,string_count,interesting_string_count,primary_guess_context
冒泡游戏320480/网游/gwy/reglogin.mrp,reg.ext,796,c87201c35624ec280d6b6318f73072a3a0d826df75758f21d8d81f388af5e36d,True,8,1,reglogin.ext
冒泡游戏320480/网游/gwy/reglogin.mrp,reglogin.ext,36528,013e8628c22f604ecae54c455f26f74042d61824f09f289494c28d07f01476de,True,560,12,reglogin.ext
冒泡游戏320480/网游/gwy/resmng.mrp,reg.ext,912,80943cdee7add02bb52b35b63d791d92567a34a1a013bf331df745e5597c75f2,True,9,1,resmng.ext
冒泡游戏320480/网游/gwy/resmng.mrp,resmng.ext,12200,19468df6a86660afd2585ce570d140a0ca11531031201acaa4841f397d3df8e3,True,170,4,resmng.ext
冒泡游戏320480/网游/gwy/rollscr.mrp,reg.ext,776,dadca4dd1ec5d84c5a46b006506be6f7d2e98bcc482944fc844fcdc38473e956,True,8,1,roll.ext
冒泡游戏320480/网游/gwy/rollscr.mrp,roll.ext,30212,50ff001de3f0058e55543e6703d87160bc7cf5a6732e68ead5bf239697f919fd,True,391,5,roll.ext
冒泡游戏320480/网游/gwy/roomlist.mrp,reg.ext,796,8b3add08e02ce45ddd81da1a47eef3aaccde947ae0a731a2d281cd27c654f018,True,8,1,roomlist.ext
冒泡游戏320480/网游/gwy/roomlist.mrp,roomlist.ext,17284,e039e91912b01712f4757b5f26bb5abb0b6ed3f9409e520ce0f5bab42b39e5f3,True,239,0,roomlist.ext
冒泡游戏320480/网游/gwy/sanguo.mrp,reg.ext,628,902288ddd8e41714ca877a4b45235ea58f48c0ea36458775287b6f46c4c36936,True,7,1,sanguo.ext
冒泡游戏320480/网游/gwy/sanguo.mrp,sanguo.ext,159836,9a2343672a4368d09fa6575955298c440c654a801d944afeb8aaab4955d0c011,True,2395,271,sanguo.ext
冒泡游戏320480/网游/gwy/sgmj.mrp,reg.ext,700,c2e31a41cf29c6775cee709ee08df462ad8f71487f291560bdd5711f66686684,True,10,1,sgmj.ext
冒泡游戏320480/网游/gwy/sgmj.mrp,sgmj.ext,258472,016b3d96faa22136c881573b1340d93d05797d060353219055f66bad05b5e5a0,True,2390,14,sgmj.ext
冒泡游戏320480/网游/gwy/smd.mrp,reg.ext,1496,0f335ad887cfdb2dae866683b8f92a1f45e259854f65ccea926c812c86bfcf1e,True,15,1,smd.ext
冒泡游戏320480/网游/gwy/smd.mrp,smd.ext,346396,58f2f829eddb59795af7e1e8acc300d38442d31f3f8edd5fe0b54bf2a5c4e0f1,True,5190,2,smd.ext
冒泡游戏320480/网游/gwy/smsbase.mrp,reg.ext,704,ef9cbc8b99b4b09d636b6e025ca7b577d02b14ff2ffe43f6bfca1fba724218ac,True,8,1,smsbase.ext
冒泡游戏320480/网游/gwy/smsbase.mrp,smsbase.ext,9568,08df5a82fd54e9e6c70dcdc13178d1fa827ea0f68002c7a67c91e959d671f78b,True,135,0,smsbase.ext
冒泡游戏320480/网游/gwy/smscharge.mrp,reg.ext,708,23e4b28fab1ce25e9cb16fd511b09dce78d82c89315efa4b47f38b582199fba8,True,8,1,smscharge.ext
冒泡游戏320480/网游/gwy/smscharge.mrp,smscharge.ext,39748,d8aae05e690222f94c4ba48045c1b58b27c6a009cc232a91da7b76d435af7c69,True,770,1,smscharge.ext
冒泡游戏320480/网游/gwy/spacetime.mrp,reg.ext,700,4a0332f1fe239f1e4275de4a5a8425f663a394907b8a035b9cd526e33f9c60b9,True,8,1,spacetime.ext
冒泡游戏320480/网游/gwy/spacetime.mrp,spacetime.ext,242232,c7d324cc8f1f09f8bd93494f879fff15f151a0d54df2af8ca1320d77efc31f71,True,2449,0,spacetime.ext
冒泡游戏320480/网游/gwy/ssjx.mrp,gameonline.ext,204904,e08f93bebe133b700f2305bfbedd994b05cc8d04a5a854262af9ced956afbc03,True,2586,5,
冒泡游戏320480/网游/gwy/ssjx.mrp,reg.ext,1504,da14f680a128be39827ec913f18f2247ac86ad393e6c37d8031e26a2e9ea9792,True,15,1,gameonline.ext
冒泡游戏320480/网游/gwy/svrctrl.mrp,reg.ext,792,7601c6253d3cabacf59d652c4ba50c0032e599e9b90bf6955b7472c171587193,True,8,1,svrctrl.ext
冒泡游戏320480/网游/gwy/svrctrl.mrp,svrctrl.ext,14812,b572fea6124a04a0ec763db0cf2d771ae53d5b80db53ae9608988ba102610c75,True,164,0,svrctrl.ext
冒泡游戏320480/网游/gwy/tlbb.mrp,reg.ext,624,58db68185b2e4f3974e6d64be939eefb767e7a02c6157c4140a73ccfea93b70f,True,7,1,dream.ext
冒泡游戏320480/网游/gwy/tlbb.mrp,dream.ext,277248,a743ecafdf48c83fdc0265fbf2e7b7b9c9d5f1bd2789fee59216d67da8ece60c,True,3974,27,dream.ext
冒泡游戏320480/网游/gwy/tyol.mrp,reg.ext,700,a07abca40cc2bdcd9f8a934d969db76bfcb852d6f247d11e3abc1c2bc07e06e9,True,8,1,tyol.ext
冒泡游戏320480/网游/gwy/tyol.mrp,tyol.ext,221952,bf5a39925f03a6ed4dae4715c506291aa151a9cb90eab31ffddb0b08af0d1896,True,2933,16,tyol.ext
冒泡游戏320480/网游/gwy/vdload.mrp,reg.ext,792,9aa694455311a95927cf5868ae01339f8127d74d494e7474f1a7aaafb62ac867,True,8,1,vdload.ext
冒泡游戏320480/网游/gwy/vdload.mrp,vdload.ext,13228,125fa7830d0d78d39e803258e7dce06a1537b3eb6f55fe4c420262f9231ca7ef,True,232,4,vdload.ext
冒泡游戏320480/网游/gwy/wapgame.mrp,reg.ext,628,d3979f4257d9b9ba744af1ea16db5df34c3ab725967742bdf00aae571e72e3f5,True,7,1,wapgame.ext
冒泡游戏320480/网游/gwy/wapgame.mrp,wapgame.ext,7256,7434e8f92ec3fc9d807b4a716cd0d668e1a19caae08894da811c59fa81f186da,True,96,1,wapgame.ext
冒泡游戏320480/网游/gwy/wm2.mrp,reg.ext,704,a6888801b40fe4e29f1b550cc4079f77a66bc770ec84ed3e059e591df99a014b,True,8,1,wm1_help.ext
冒泡游戏320480/网游/gwy/wm2.mrp,wm1_help.ext,34660,22a325d56f3e606ac3ce98e636695d690f25770699cec622ba8f3eb1e25dfec0,True,447,0,wm1_help.ext
冒泡游戏320480/网游/gwy/wm2pet.mrp,reg.ext,696,ef1d3a16c81b4ecefec21132736bfd5cd95e44db41f7e4d9c3fb3f0082d95023,True,9,1,wmpk.ext
冒泡游戏320480/网游/gwy/wm2pet.mrp,wmpk.ext,51548,d2383cc68644f6453e33c55688cd3c71cf7bcbcec0d6c065569074d890cb3355,True,848,25,wmpk.ext
冒泡游戏320480/网游/gwy/wxjwq.mrp,mrc_loader.ext,232,d36151ee3c119717305afe4b1f0ba47f0f0154f8ba6f2c5081d6402c8eddd938,True,2,1,
冒泡游戏320480/网游/gwy/wxjwq.mrp,reg.ext,704,fe21e8b00e67a42779aad07a0a5adc264395b88065888644d2a0351e85cc7204,True,8,1,mmochat.ext
冒泡游戏320480/网游/gwy/wxjwq.mrp,mmochat.ext,320292,b7cf57219e8eedaba3c71129df2ed4b03b9918d9038d977191fa14f78199f0fd,True,4606,299,mmochat.ext
冒泡游戏320480/网游/gwy/xaqd.mrp,reg.ext,696,b0544a7ccc0a376b739645a99f73796ca6a0626d90e76d1053af37c03761998d,True,8,1,wm1.ext
冒泡游戏320480/网游/gwy/xaqd.mrp,wm1.ext,241744,20ef24bd8975f5d420b81884a2b10e7e6a16ecbf6cff02a4450408c17d14c8a3,True,3062,91,wm1.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res1.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res1.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res2.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res2.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res3.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res3.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res4.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res4.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res5.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res5.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res6.mrp,reg.ext,912,4e2322ddcbd137995aa35af5efa8a59c48c0218a95f4ffb70fae7b892918a92e,True,2,1,mrpmaker.ext
冒泡游戏320480/网游/gwy/xjwq/res/mrp/mmochat_res6.mrp,mrpmaker.ext,1892,375fdf6e29e94c0f18713924ebb005156b6ad7f97bf5fa19e79055379cb4f7a5,True,46,0,mrpmaker.ext
冒泡游戏320480/网游/gwy/xyol.mrp,reg.ext,704,3bb2da600d3f77715b29691822b8855d5563cdc55658d03d1a17e4aeff561ab4,True,8,1,xiyou.ext
冒泡游戏320480/网游/gwy/xyol.mrp,xiyou.ext,159976,b85e8c1ace495cfd98586647ffa91b3e8fa6e546d764a3864c3a3c0e5a693a8e,True,2016,88,xiyou.ext
冒泡游戏320480/网游/gwy/yxlm.mrp,reg.ext,696,dae2609af9738eb4d3097d57736ba6f95acbd260864a568f9f86dea92d52ec6e,True,8,1,xqj.ext
冒泡游戏320480/网游/gwy/yxlm.mrp,xqj.ext,271848,e3bc808b3720f11173e506ca804df67a309cf2a8c5c202fee8c18315acd45bb1,True,3513,150,xqj.ext
冒泡游戏320480/网游/gwy/zsol.mrp,reg.ext,628,fcf23a2c40ae79d1e2427a5b028cf426b1fc836433345926bf8a3d59b01462c0,True,7,1,dream.ext
冒泡游戏320480/网游/gwy/zsol.mrp,dream.ext,235300,2789a8499b7bd41ea525444bdb0bc1e7d32ac4c6a49b512a3a4240db41f4c529,True,3226,24,dream.ext
