seq,pc,off,addr,size,old,new,lr,sp,phase,kind,note,stack0,stack1,stack2,stack3
982,0x92CE0,0x12CE0,0x28065C,4,0x8392,0x8393,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
983,0x92CE0,0x12CE0,0x28065C,4,0x8393,0x8394,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
984,0x92CE0,0x12CE0,0x28065C,4,0x8394,0x8395,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
985,0x92CE0,0x12CE0,0x28065C,4,0x8395,0x8396,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
986,0x92CE0,0x12CE0,0x28065C,4,0x8396,0x8397,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
987,0x92CE0,0x12CE0,0x28065C,4,0x8397,0x8398,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
988,0x92CE0,0x12CE0,0x28065C,4,0x8398,0x8399,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
989,0x92CE0,0x12CE0,0x28065C,4,0x8399,0x839A,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
990,0x92CE0,0x12CE0,0x28065C,4,0x839A,0x839B,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
991,0x92CE0,0x12CE0,0x28065C,4,0x839B,0x839C,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
992,0x92F54,0x12F54,0x28065C,4,0x839C,0x839D,0xF,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
993,0x92F54,0x12F54,0x28065C,4,0x839D,0x839E,0x42F,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
994,0x92CE0,0x12CE0,0x28065C,4,0x839E,0x839F,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
995,0x92F54,0x12F54,0x28065C,4,0x839F,0x83A0,0x61,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
996,0x92CE0,0x12CE0,0x28065C,4,0x83A0,0x83A1,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
997,0x92CE0,0x12CE0,0x28065C,4,0x83A1,0x83A2,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
998,0x92CE0,0x12CE0,0x28065C,4,0x83A2,0x83A3,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
999,0x92CE0,0x12CE0,0x28065C,4,0x83A3,0x83A4,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1000,0x92CE0,0x12CE0,0x28065C,4,0x83A4,0x83A5,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1001,0x92CE0,0x12CE0,0x28065C,4,0x83A5,0x83A6,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1002,0x92CE0,0x12CE0,0x28065C,4,0x83A6,0x83A7,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1003,0x92CE0,0x12CE0,0x28065C,4,0x83A7,0x83A8,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1004,0x92CE0,0x12CE0,0x28065C,4,0x83A8,0x83A9,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1005,0x92F54,0x12F54,0x28065C,4,0x83A9,0x83AA,0x13,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1006,0x92CE0,0x12CE0,0x28065C,4,0x83AA,0x83AB,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1007,0x92F54,0x12F54,0x28065C,4,0x83AB,0x83AC,0x1,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1008,0x92F54,0x12F54,0x28065C,4,0x83AC,0x83AD,0xD3,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1009,0x92CE0,0x12CE0,0x28065C,4,0x83AD,0x83AE,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1010,0x92F54,0x12F54,0x28065C,4,0x83AE,0x83AF,0x3,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1011,0x92CE0,0x12CE0,0x28065C,4,0x83AF,0x83B0,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1012,0x92CE0,0x12CE0,0x28065C,4,0x83B0,0x83B1,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1013,0x92CE0,0x12CE0,0x28065C,4,0x83B1,0x83B2,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1014,0x92F54,0x12F54,0x28065C,4,0x83B2,0x83B3,0x1,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1015,0x92F54,0x12F54,0x28065C,4,0x83B3,0x83B4,0xA3,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1016,0x92CE0,0x12CE0,0x28065C,4,0x83B4,0x83B5,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1017,0x92CE0,0x12CE0,0x28065C,4,0x83B5,0x83B6,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1018,0x92CE0,0x12CE0,0x28065C,4,0x83B6,0x83B7,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1019,0x92CE0,0x12CE0,0x28065C,4,0x83B7,0x83B8,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1020,0x92CE0,0x12CE0,0x28065C,4,0x83B8,0x83B9,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1021,0x92CE0,0x12CE0,0x28065C,4,0x83B9,0x83BA,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
