seq,phase,object,f08,f0c,f14,f30,buf_base,cursor,end,capacity_guess,record_count_guess,trigger_pc,note
49,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
50,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
51,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
52,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
53,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
54,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
55,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
56,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
57,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
58,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
59,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
60,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
61,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
62,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
63,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
64,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
65,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
66,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
67,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
68,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
69,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
70,during_opcode,0x2A8264,0x2A83B4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
71,during_opcode,0x2A8264,0x2A83BC,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
72,during_opcode,0x2A8264,0x2A83C4,0x2A83AC,0x2A84E4,0x100,0x2AF8F8,0x2AF8F8,0x2AF908,16,2,0x0,"object_field_write"
