t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked
9.214231,UC_EMU_START_RETURN,1,3,0x92F44,0xD,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
9.339390,UC_EMU_START_RETURN,1,3,0x92CBC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
9.489733,UC_EMU_START_RETURN,1,3,0x92CC8,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
9.618237,UC_EMU_START_RETURN,1,3,0x92D18,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
9.776648,UC_EMU_START_RETURN,1,3,0x92D00,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
9.917699,UC_EMU_START_RETURN,1,3,0x92FE0,0x1DD,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.075455,UC_EMU_START_RETURN,1,3,0x92CF8,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.241101,UC_EMU_START_RETURN,1,3,0x92CF0,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.399019,UC_EMU_START_RETURN,1,3,0x92DC8,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.538424,UC_EMU_START_RETURN,1,3,0x92DB4,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.692004,UC_EMU_START_RETURN,1,3,0x92DC4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.854772,UC_EMU_START_RETURN,1,3,0x92CCC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
10.986090,UC_EMU_START_RETURN,1,3,0x92DC4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.160984,UC_EMU_START_RETURN,1,3,0x93014,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.338172,UC_EMU_START_RETURN,1,3,0x92CD4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.517027,UC_EMU_START_RETURN,1,3,0x92CE4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.665442,UC_EMU_START_RETURN,1,3,0x92CD4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.828130,UC_EMU_START_RETURN,1,3,0x92CE4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
11.932961,UC_EMU_START_RETURN,1,3,0x92DB4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.095212,UC_EMU_START_RETURN,1,3,0x92E3C,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.252083,UC_EMU_START_RETURN,1,3,0x92CBC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.388009,UC_EMU_START_RETURN,1,3,0x92CCC,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.570059,UC_EMU_START_RETURN,1,3,0x92D40,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.799788,UC_EMU_START_RETURN,1,3,0x92DC8,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
12.943758,UC_EMU_START_RETURN,1,3,0x92D14,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.081538,UC_EMU_START_RETURN,1,3,0x92CDC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
