role,source,offset,target_mrp,candidate_record_index_272,candidate_record_start,pre32_hex,post64_hex
loose_runtime_cfg,gwy/cfg.bin,6123,gwy/sgmj.mrp,18,5920,fd0000000000000000000000000000000000000001e960000000020000000010,6777792f73676d6a2e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,6395,gwy/wapgame.mrp,19,6192,4c00000000000000000000000000000000000000012a01000000010000b31100,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,7755,gwy/wapgame.mrp,24,7552,0000000000000000000000000000000000000000012a01000000a30000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,8027,gwy/assg.mrp,25,7824,fd0000000000000000000000000000000000000001e950000000020000000005,6777792f617373672e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,8831,gwy/yxlm.mrp,28,8640,df0028706b7206516c6d4b00290000000000000001e7a0000000020000000005,6777792f79786c6d2e6d7270000000000000000000000000000000000000000000000000000000000803ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,9095,gwy/smd.mrp,29,8912,28706b7206516c6d4b002900000000000000000001e890000000020000000001,6777792f736d642e6d727000000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,9359,gwy/wapgame.mrp,30,9184,6e006c0069006e00650000000000000000000000012a01000000010000b31100,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,9623,gwy/wapgame.mrp,31,9456,aa00000000000000000000000000000000000000012a01000000010000b30200,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,9887,gwy/assg.mrp,32,9728,fd002876db5927516c6d4b00290000000000000001e950000000020000000005,6777792f617373672e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,10151,gwy/bbjq.mrp,33,10000,c50028516c6d4b0029000000000000000000000001e8d0000000020000000005,6777792f62626a712e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,10415,gwy/wapgame.mrp,34,10272,385b987f51000000000000000000000000000000012a01000687e30000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,10679,gwy/gkdxy.mrp,35,10544,380028706b7206516c6d4b00290000000000000001e9c0000000020000000001,6777792f676b6478792e6d72700000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,10943,gwy/jjfb.mrp,36,10816,b40028706b7206516c6d4b00290000000000000001e200000000020000000001,6777792f6a6a66622e6d7270000000000000000000000000000000000000000000000000000000000305ffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,11207,gwy/wapgame.mrp,37,11088,2865b00029000000000000000000000000000000012a01000626910000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,11471,gwy/wapgame.mrp,38,11360,0865b0533aff0900000000000000000000000000012a01000626710000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,11735,gwy/wapgame.mrp,39,11632,4c00000000000000000000000000000000000000012a01000626690000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,13059,gwy/wapgame.mrp,44,12992,cb00000000000000000000000000000000000000012a010000271d0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,13323,gwy/wapgame.mrp,45,13264,af00000000000000000000000000000000000000012a010000006a0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,13587,gwy/wapgame.mrp,46,13536,3700000000000000000000000000000000000000012a010000009e0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,13851,gwy/wapgame.mrp,47,13808,6900000000000000000000000000000000000000012a010006266e0000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,14119,gwy/cacddz.mrp,48,14080,3b00000000000000000000000000000000000000013202c600010100061a8101,6777792f63616364647a2e6d727000000000000000000000000000000000000000000000000000000a0b0c030d0e0f04090805ffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,14383,gwy/cacgang5.mrp,49,14352,2000000000000000000000000000000000000000013202c600040000061a8101,6777792f63616367616e67352e6d72700000000000000000000000000000000000000000000000000b0c030d0f040908050affffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,14647,gwy/caczjh.mrp,50,14624,0000000000000000000000000000000000000000013202c6000d0200061a8101,6777792f6361637a6a682e6d727000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,14911,gwy/cacnn.mrp,51,14896,0000000000000000000000000000000000000000013202c600050000061a8101,6777792f6361636e6e2e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,15175,gwy/caccharge.mrp,52,15168,3c000000000000000000000000000000000000000135000000000200061a8101,6777792f6361636368617267652e6d72700000000000000000000000000000000000000000000000030f04090805ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,15439,gwy/caclottery.mrp,52,15168,0000000000000000000000000000000000000000013e83000003f000061a8101,6777792f6361636c6f74746572792e6d7270000000000000000000000000000000000000000000000f0d0408030509ffffffffffffffffffffffffff00000000
