
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
Lsf.exe                      12184 Console                    1     15,176 K
ResScheduler.exe             13068 Console                    1     26,660 K
FnHotkeyCapsLKNumLK.exe      13076 Console                    1     11,972 K
svchost.exe                  13088 Services                   0     13,656 K
FnHotkeyUtility.exe           5752 Console                    1     21,604 K
wsctrl10.exe                 13472 Services                   0      9,512 K
unsecapp.exe                 13824 Console                    1     10,212 K
svchost.exe                  14120 Console                    1     29,408 K
StartMenuExperienceHost.e    14264 Console                    1     69,528 K
SogouCloud.exe               14252 Console                    1     52,704 K
RuntimeBroker.exe            14352 Console                    1     31,808 K
vmmem                        14852 Services                   0         ��ȱ
HrAppStoreTray.exe           14964 Console                    1     33,036 K
SearchApp.exe                15280 Console                    1    106,080 K
RuntimeBroker.exe            13292 Console                    1     42,348 K
SGTool.exe                   12340 Console                    1     67,440 K
RuntimeBroker.exe            16652 Console                    1     27,644 K
TextInputHost.exe            16808 Console                    1     47,384 K
svchost.exe                  16744 Services                   0     13,140 K
RadeonSoftware.exe            5328 Console                    1     38,736 K
svchost.exe                  16880 Services                   0     14,804 K
CPUMetricsServer.exe          8312 Console                    1      4,664 K
RtkAudUService64.exe         17728 Console                    1     12,536 K
CCleanerPerformanceOptimi     5320 Services                   0     28,856 K
CCleaner64.exe               18344 Console                    1     59,176 K
GameViewer.exe                7504 Console                    1     71,320 K
crashpad_handler.exe          7096 Console                    1        580 K
CCXProcess.exe               17920 Console                    1      4,584 K
node.exe                     17700 Console                    1     45,396 K
conhost.exe                  17836 Console                    1      7,144 K
msedgewebview2.exe           19320 Console                    1    127,988 K
msedgewebview2.exe           19436 Console                    1     13,328 K
AdobeIPCBroker.exe           18232 Console                    1     11,348 K
Feishu.exe                   12480 Console                    1    155,156 K
msedgewebview2.exe           19528 Console                    1     58,164 K
msedgewebview2.exe           19536 Console                    1     37,088 K
Feishu.exe                   19580 Console                    1     20,352 K
msedgewebview2.exe           19716 Console                    1     20,948 K
msedgewebview2.exe           20120 Console                    1     45,152 K
Feishu.exe                   20812 Console                    1     14,352 K
Feishu.exe                   20884 Console                    1     38,144 K
svchost.exe                  20896 Services                   0      8,232 K
Feishu.exe                   20960 Console                    1     63,452 K
Feishu.exe                   21224 Console                    1     69,880 K
msedgewebview2.exe           13416 Console                    1     44,504 K
Feishu.exe                   21052 Console                    1     43,052 K
Feishu.exe                   18868 Console                    1     16,880 K
MuMuNxService.exe            20820 Console                    1     46,828 K
crashpad_handler.exe         21564 Console                    1        480 K
cncmd.exe                    22036 Console                    1      1,420 K
cmd.exe                      20692 Console                    1      2,880 K
conhost.exe                   9640 Console                    1      1,936 K
AMDRSServ.exe                19392 Console                    1     87,692 K
SOGOUSmartAssistant.exe      22964 Console                    1     19,692 K
SOGOUSmartAssistant.exe      21744 Console                    1     56,440 K
node.exe                     22300 Console                    1     42,092 K
conhost.exe                  18340 Console                    1      8,828 K
node.exe                     21912 Console                    1     71,068 K
conhost.exe                  16636 Console                    1      7,092 K
nano.exe                     18716 Console                    1     63,072 K
DesktopService64.exe          3888 Services                   0     14,664 K
DesktopMgr64.exe             11008 Console                    1      6,616 K
svchost.exe                  22200 Services                   0      7,324 K
DesktopAITaskCenter.exe       2376 Console                    1     21,196 K
QQPCExternal.exe              6504 Console                    1     71,936 K
QQPCExternal.exe              2820 Console                    1     23,104 K
QQPCExternal.exe              6632 Console                    1     28,132 K
QQPCExternal.exe              1304 Console                    1     26,424 K
AUEPDU.exe                   19144 Services                   0     12,420 K
svchost.exe                  21276 Services                   0     14,720 K
svchost.exe                  13108 Console                    1     22,988 K
svchost.exe                   1552 Services                   0     18,416 K
SecurityHealthService.exe    13220 Services                   0     13,536 K
AMDRSSrcExt.exe               8608 Console                    1     28,272 K
Doubao.exe                   20996 Console                    1    114,008 K
Doubao.exe                   17400 Console                    1     10,660 K
Doubao.exe                   22112 Console                    1     56,612 K
Doubao.exe                   17108 Console                    1     57,956 K
Doubao.exe                   14684 Console                    1     22,272 K
Doubao.exe                   13960 Console                    1     19,088 K
Doubao.exe                    2104 Console                    1     72,836 K
aha_doctor.exe               19280 Console                    1     30,308 K
Doubao.exe                   15264 Console                    1     22,636 K
Doubao.exe                    2956 Console                    1    144,904 K
CompPkgSrv.exe               14052 Console                    1      9,304 K
Doubao.exe                   15300 Console                    1     48,160 K
DynamicDependencyLifetime    11780 Console                    1      5,432 K
PushNotificationsLongRunn    16940 Console                    1     15,512 K
ApplicationFrameHost.exe     14768 Console                    1     59,396 K
HrAppStoreAppOM.exe          12284 Console                    1     33,000 K
taskhostw.exe                13348 Console                    1     29,788 K
EMDriverAssist.exe           13536 Console                    1     25,344 K
QQ.exe                       16344 Console                    1    122,308 K
crashpad_handler.exe         17168 Console                    1      1,884 K
QQ.exe                       16716 Console                    1    102,660 K
QQ.exe                       22256 Console                    1     35,200 K
QQ.exe                        2208 Console                    1    116,748 K
QQ.exe                        9292 Console                    1     21,192 K
QQ.exe                        1224 Console                    1     25,680 K
dllhost.exe                  10484 Console                    1     10,268 K
QQEX.exe                     12368 Console                    1     44,556 K
QQEX.exe                     14044 Console                    1     77,164 K
QQEX.exe                      5908 Console                    1     31,304 K
QQEX.exe                     18040 Console                    1     25,788 K
QQEX.exe                     22144 Console                    1     12,156 K
svchost.exe                   4964 Console                    1     10,352 K
ShellExperienceHost.exe      19760 Console                    1    112,880 K
RuntimeBroker.exe            11204 Console                    1     37,952 K
SystemSettingsBroker.exe     20152 Console                    1     34,740 K
wps.exe                       5268 Console                    1     38,372 K
promecefpluginhost.exe        5068 Console                    1     30,052 K
promecefpluginhost.exe        3536 Console                    1     22,344 K
wps.exe                      19688 Console                    1     71,928 K
clouddrive_desktop_widget    15732 Console                    1     20,264 K
chrome.exe                   17708 Console                    1     29,844 K
chrome.exe                   14220 Console                    1     10,496 K
chrome.exe                   21768 Console                    1     40,412 K
chrome.exe                   18136 Console                    1     49,960 K
chrome.exe                   14048 Console                    1     20,816 K
chrome.exe                   23824 Console                    1         16 K
chrome.exe                   22236 Console                    1    108,856 K
adb.exe                      22692 Console                    1     11,448 K
svchost.exe                  11520 Services                   0      7,784 K
Doubao.exe                   21592 Console                    1     62,100 K
chrome.exe                   10024 Console                    1     22,808 K
chrome.exe                   17884 Console                    1     31,940 K
AIAssistant-2102.exe         28808 Console                    1      7,248 K
AIAssistant-2102.exe         28588 Console                    1      2,988 K
Doubao.exe                   18148 Console                    1     29,676 K
HrASMain.exe                 29020 Console                    1     23,272 K
HrASMain.exe                 26180 Console                    1     16,136 K
HrASMain.exe                 30820 Console                    1      5,604 K
HrASMain.exe                 27716 Console                    1      9,820 K
HrASMain.exe                 29056 Console                    1     14,768 K
LockApp.exe                  28856 Console                    1     55,708 K
RuntimeBroker.exe            30292 Console                    1     38,360 K
unsecapp.exe                 24980 Console                    1      9,008 K
QQ.exe                       25356 Console                    1      6,424 K
chrome.exe                   31332 Console                    1     11,136 K
dllhost.exe                  27992 Console                    1     14,916 K
svchost.exe                  23148 Services                   0     27,128 K
svchost.exe                   5864 Services                   0      9,192 K
wpscloudsvr.exe              31036 Console                    1     13,872 K
wps.exe                       5632 Console                    1     37,488 K
promecefpluginhost.exe       28408 Console                    1     30,196 K
promecefpluginhost.exe       16860 Console                    1     21,568 K
MoUsoCoreWorker.exe           6260 Services                   0     38,244 K
svchost.exe                  13168 Services                   0     12,040 K
svchost.exe                  25212 Services                   0     20,072 K
MusNotifyIcon.exe            16540 Console                    1      1,008 K
node.exe                     27500 Console                    1    181,460 K
conhost.exe                   8764 Console                    1      1,320 K
chrome.exe                   26540 Console                    1    152,120 K
SystemSettings.exe           11928 Console                    1      3,012 K
UserOOBEBroker.exe           26712 Console                    1     10,068 K
msedge.exe                   26772 Console                    1     98,164 K
msedge.exe                   15936 Console                    1     14,364 K
msedge.exe                    3960 Console                    1     34,276 K
