
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
DesktopService64.exe          3888 Services                   0     14,664 K
DesktopMgr64.exe             11008 Console                    1     23,820 K
svchost.exe                  22200 Services                   0      7,328 K
DesktopAITaskCenter.exe       2376 Console                    1     21,272 K
QQPCExternal.exe              6504 Console                    1     72,060 K
QQPCExternal.exe              2820 Console                    1     23,168 K
QQPCExternal.exe              6632 Console                    1     28,172 K
QQPCExternal.exe              1304 Console                    1     26,576 K
AUEPDU.exe                   19144 Services                   0     12,420 K
svchost.exe                  21276 Services                   0     14,740 K
svchost.exe                  13108 Console                    1     20,908 K
svchost.exe                   1552 Services                   0     18,440 K
SecurityHealthService.exe    13220 Services                   0     13,540 K
AMDRSSrcExt.exe               8608 Console                    1     28,292 K
Doubao.exe                   20996 Console                    1    112,888 K
Doubao.exe                   17400 Console                    1     10,716 K
Doubao.exe                   22112 Console                    1     52,548 K
Doubao.exe                   17108 Console                    1     57,444 K
Doubao.exe                   14684 Console                    1     22,132 K
Doubao.exe                   13960 Console                    1     19,068 K
Doubao.exe                    2104 Console                    1     55,616 K
aha_doctor.exe               19280 Console                    1     29,704 K
Doubao.exe                   15264 Console                    1     22,228 K
Doubao.exe                    2956 Console                    1    143,356 K
CompPkgSrv.exe               14052 Console                    1      9,304 K
Doubao.exe                   15300 Console                    1     48,096 K
DynamicDependencyLifetime    11780 Console                    1      5,432 K
PushNotificationsLongRunn    16940 Console                    1     15,368 K
ApplicationFrameHost.exe     14768 Console                    1     59,672 K
HrAppStoreAppOM.exe          12284 Console                    1     33,000 K
taskhostw.exe                13348 Console                    1     29,864 K
EMDriverAssist.exe           13536 Console                    1     24,488 K
QQ.exe                       16344 Console                    1    127,028 K
crashpad_handler.exe         17168 Console                    1      1,420 K
QQ.exe                       16716 Console                    1      8,412 K
QQ.exe                       22256 Console                    1     35,076 K
QQ.exe                        2208 Console                    1    154,268 K
QQ.exe                        9292 Console                    1     20,768 K
QQ.exe                        1224 Console                    1     30,676 K
dllhost.exe                  10484 Console                    1      9,716 K
QQEX.exe                     12368 Console                    1     59,444 K
QQEX.exe                     14044 Console                    1     77,112 K
QQEX.exe                      5908 Console                    1     31,288 K
QQEX.exe                     18040 Console                    1     25,056 K
QQEX.exe                     22144 Console                    1     11,976 K
svchost.exe                   4964 Console                    1     10,352 K
ShellExperienceHost.exe      19760 Console                    1    110,380 K
RuntimeBroker.exe            11204 Console                    1     37,396 K
SystemSettingsBroker.exe     20152 Console                    1     35,676 K
wps.exe                       5268 Console                    1     38,300 K
promecefpluginhost.exe        5068 Console                    1     30,068 K
promecefpluginhost.exe        3536 Console                    1     22,592 K
wps.exe                      19688 Console                    1     59,260 K
clouddrive_desktop_widget    15732 Console                    1     20,280 K
chrome.exe                   17708 Console                    1    107,560 K
chrome.exe                   14220 Console                    1     10,564 K
chrome.exe                   21768 Console                    1     62,940 K
chrome.exe                   18136 Console                    1     48,456 K
chrome.exe                   14048 Console                    1     20,232 K
chrome.exe                   23824 Console                    1      4,876 K
chrome.exe                   22236 Console                    1     80,980 K
adb.exe                      22692 Console                    1     11,556 K
svchost.exe                  11520 Services                   0      7,776 K
Doubao.exe                   21592 Console                    1     62,800 K
chrome.exe                   10024 Console                    1     21,976 K
chrome.exe                   17884 Console                    1     31,896 K
AIAssistant-2102.exe         28808 Console                    1      7,304 K
AIAssistant-2102.exe         28588 Console                    1     17,016 K
Doubao.exe                   18148 Console                    1     29,640 K
HrASMain.exe                 29020 Console                    1     23,416 K
HrASMain.exe                 26180 Console                    1     16,236 K
HrASMain.exe                 30820 Console                    1      5,612 K
HrASMain.exe                 27716 Console                    1      9,900 K
HrASMain.exe                 29056 Console                    1     15,140 K
LockApp.exe                  28856 Console                    1     55,708 K
RuntimeBroker.exe            30292 Console                    1     38,180 K
LAVService.exe               28048 Services                   0     15,596 K
crashpad_handler.exe          5860 Services                   0        516 K
usysdiag.exe                 29092 Services                   0      1,228 K
unsecapp.exe                 24980 Console                    1      8,984 K
QQ.exe                       25356 Console                    1      6,696 K
chrome.exe                   31332 Console                    1     13,448 K
dllhost.exe                  27992 Console                    1     15,620 K
svchost.exe                  23148 Services                   0     21,564 K
svchost.exe                   5864 Services                   0      9,028 K
wpscloudsvr.exe              31036 Console                    1      4,732 K
wps.exe                       5632 Console                    1     37,524 K
promecefpluginhost.exe       28408 Console                    1     30,260 K
promecefpluginhost.exe       16860 Console                    1     21,980 K
MoUsoCoreWorker.exe           6260 Services                   0     32,116 K
svchost.exe                  13168 Services                   0     10,684 K
svchost.exe                  25212 Services                   0     18,960 K
MusNotifyIcon.exe            16540 Console                    1        932 K
node.exe                     27500 Console                    1    393,140 K
conhost.exe                   8764 Console                    1      1,872 K
chrome.exe                   26540 Console                    1    102,144 K
SystemSettings.exe           11928 Console                    1      2,412 K
UserOOBEBroker.exe           26712 Console                    1     10,068 K
msedge.exe                   26772 Console                    1     92,672 K
msedge.exe                   15936 Console                    1     14,432 K
msedge.exe                    3960 Console                    1     34,320 K
msedge.exe                   13392 Console                    1     43,216 K
msedge.exe                    7848 Console                    1     21,868 K
msedge.exe                   18928 Console                    1     30,172 K
msedge.exe                   25840 Console                    1     41,336 K
HipsMain.exe                  7296 Console                    1      2,920 K
HipsTray.exe                 27268 Console                    1      4,312 K
HipsDaemon.exe               26996 Services                   0     89,008 K
PhoneExperienceHost.exe      21712 Console                    1    126,804 K
chrome.exe                    2024 Console                    1    539,580 K
chrome.exe                   12760 Console                    1     25,380 K
svchost.exe                  17968 Services                   0      8,892 K
SearchProtocolHost.exe       27712 Services                   0     13,880 K
WinRAR.exe                   31620 Console                    1     77,696 K
QQ.exe                       27868 Console                    1     36,152 K
powershell.exe               27988 Console                    1     86,636 K
conhost.exe                  29604 Console                    1     51,120 K
node.exe                      6376 Console                    1     61,748 K
conhost.exe                  26760 Console                    1     12,048 K
cmd.exe                      30964 Console                    1      5,820 K
node.exe                     13152 Console                    1     43,944 K
smartscreen.exe              22196 Console                    1     26,052 K
powershell.exe               15712 Console                    1     86,336 K
conhost.exe                  15140 Console                    1     51,036 K
powershell.exe               27256 Console                    1     74,148 K
main.exe                     12596 Console                    1     79,532 K
node.exe                     24708 Console                    1     89,012 K
conhost.exe                   4628 Console                    1     12,584 K
cmd.exe                      22420 Console                    1      5,932 K
node.exe                     24956 Console                    1     73,480 K
chrome.exe                   25476 Console                    1     43,432 K
svchost.exe                  16504 Services                   0      8,816 K
SearchFilterHost.exe         25640 Services                   0      8,736 K
python.exe                   25768 Console                    1     16,412 K
cmd.exe                      22604 Console                    1      5,380 K
tasklist.exe                 29680 Console                    1     10,696 K
