
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
DesktopService64.exe          3888 Services                   0     14,592 K
DesktopMgr64.exe             11008 Console                    1      6,332 K
svchost.exe                  22200 Services                   0      7,328 K
DesktopAITaskCenter.exe       2376 Console                    1     21,272 K
QQPCExternal.exe              6504 Console                    1     63,472 K
QQPCExternal.exe              2820 Console                    1     23,152 K
QQPCExternal.exe              6632 Console                    1     28,152 K
QQPCExternal.exe              1304 Console                    1     26,480 K
AUEPDU.exe                   19144 Services                   0     12,500 K
svchost.exe                  21276 Services                   0     14,668 K
svchost.exe                  13108 Console                    1     21,036 K
svchost.exe                   1552 Services                   0     17,316 K
SecurityHealthService.exe    13220 Services                   0     13,760 K
AMDRSSrcExt.exe               8608 Console                    1     28,120 K
Doubao.exe                   20996 Console                    1    109,232 K
Doubao.exe                   17400 Console                    1     10,656 K
Doubao.exe                   22112 Console                    1     50,088 K
Doubao.exe                   17108 Console                    1     56,932 K
Doubao.exe                   14684 Console                    1     22,256 K
Doubao.exe                   13960 Console                    1     19,068 K
Doubao.exe                    2104 Console                    1     70,996 K
aha_doctor.exe               19280 Console                    1     30,508 K
Doubao.exe                   15264 Console                    1     22,184 K
Doubao.exe                    2956 Console                    1    143,624 K
CompPkgSrv.exe               14052 Console                    1      9,272 K
Doubao.exe                   15300 Console                    1     47,992 K
DynamicDependencyLifetime    11780 Console                    1      5,428 K
PushNotificationsLongRunn    16940 Console                    1     15,368 K
ApplicationFrameHost.exe     14768 Console                    1     55,728 K
HrAppStoreAppOM.exe          12284 Console                    1     32,876 K
taskhostw.exe                13348 Console                    1     28,828 K
EMDriverAssist.exe           13536 Console                    1     24,732 K
QQ.exe                       16344 Console                    1     96,004 K
crashpad_handler.exe         17168 Console                    1      1,992 K
QQ.exe                       16716 Console                    1      8,800 K
QQ.exe                       22256 Console                    1     35,468 K
QQ.exe                        2208 Console                    1     85,560 K
QQ.exe                        9292 Console                    1     20,728 K
QQ.exe                        1224 Console                    1     29,384 K
dllhost.exe                  10484 Console                    1      9,676 K
QQEX.exe                     12368 Console                    1     26,284 K
QQEX.exe                     14044 Console                    1     77,168 K
QQEX.exe                      5908 Console                    1     31,048 K
QQEX.exe                     18040 Console                    1     24,840 K
QQEX.exe                     22144 Console                    1     11,940 K
svchost.exe                   4964 Console                    1     10,436 K
ShellExperienceHost.exe      19760 Console                    1     72,632 K
RuntimeBroker.exe            11204 Console                    1     35,556 K
SystemSettingsBroker.exe     20152 Console                    1     33,128 K
wps.exe                       5268 Console                    1     38,128 K
promecefpluginhost.exe        5068 Console                    1     30,540 K
promecefpluginhost.exe        3536 Console                    1     22,236 K
wps.exe                      19688 Console                    1     45,792 K
clouddrive_desktop_widget    15732 Console                    1     20,360 K
chrome.exe                   17708 Console                    1     54,560 K
chrome.exe                   14220 Console                    1     10,556 K
chrome.exe                   21768 Console                    1     39,992 K
chrome.exe                   18136 Console                    1     49,544 K
chrome.exe                   14048 Console                    1     22,716 K
chrome.exe                   23824 Console                    1      2,172 K
chrome.exe                   11300 Console                    1    158,952 K
chrome.exe                   22236 Console                    1     87,280 K
adb.exe                      22692 Console                    1     11,984 K
svchost.exe                  11520 Services                   0      7,640 K
msedge.exe                   18268 Console                    1    112,336 K
msedge.exe                    5296 Console                    1     14,228 K
msedge.exe                   18816 Console                    1    166,996 K
msedge.exe                   23736 Console                    1     48,680 K
msedge.exe                   24616 Console                    1     22,848 K
msedge.exe                   23812 Console                    1     42,080 K
Doubao.exe                   21592 Console                    1     59,952 K
chrome.exe                   10024 Console                    1     20,692 K
chrome.exe                   17884 Console                    1     31,844 K
msedge.exe                   25980 Console                    1      9,764 K
msedge.exe                   26004 Console                    1     23,512 K
msedge.exe                    8196 Console                    1     28,444 K
AIAssistant-2102.exe         28808 Console                    1      7,264 K
AIAssistant-2102.exe         28588 Console                    1      2,540 K
Cursor.exe                   25732 Console                    1    105,404 K
Cursor.exe                   15464 Console                    1     41,992 K
Cursor.exe                   27100 Console                    1    132,096 K
Cursor.exe                   28236 Console                    1     59,796 K
Cursor.exe                   25560 Console                    1    483,416 K
Cursor.exe                   27404 Console                    1    122,772 K
Cursor.exe                   26828 Console                    1    101,576 K
Cursor.exe                   11508 Console                    1    171,712 K
Cursor.exe                   28760 Console                    1    117,496 K
Cursor.exe                   22724 Console                    1    111,956 K
Cursor.exe                   28428 Console                    1     32,160 K
Cursor.exe                   26356 Console                    1      4,984 K
conhost.exe                  28060 Console                    1      7,196 K
powershell.exe               28332 Console                    1     55,440 K
Cursor.exe                   27788 Console                    1     93,700 K
Cursor.exe                   27112 Console                    1     96,676 K
node.exe                     24900 Console                    1         68 K
conhost.exe                  26888 Console                    1      6,868 K
node.exe                     17208 Console                    1     37,644 K
conhost.exe                  11856 Console                    1      6,872 K
node.exe                     26744 Console                    1     34,188 K
msedge.exe                   22764 Console                    1     13,392 K
msedge.exe                   29136 Console                    1     16,392 K
msedge.exe                   17272 Console                    1     23,288 K
Cursor.exe                   29900 Console                    1     99,156 K
msedge.exe                     588 Console                    1      2,964 K
msedge.exe                   29740 Console                    1    120,664 K
msedge.exe                   30940 Console                    1     30,508 K
Doubao.exe                   18148 Console                    1     29,656 K
HrASMain.exe                 29020 Console                    1     21,856 K
HrASMain.exe                 26180 Console                    1     15,756 K
HrASMain.exe                 30820 Console                    1      5,272 K
HrASMain.exe                 27716 Console                    1      8,680 K
HrASMain.exe                 29056 Console                    1     13,476 K
LockApp.exe                  28856 Console                    1     55,632 K
RuntimeBroker.exe            30292 Console                    1     36,908 K
LAVService.exe               28048 Services                   0     14,380 K
crashpad_handler.exe          5860 Services                   0        520 K
usysdiag.exe                 29092 Services                   0      1,180 K
unsecapp.exe                 24980 Console                    1      8,860 K
QQ.exe                       25356 Console                    1      6,236 K
chrome.exe                   31332 Console                    1      2,616 K
dllhost.exe                  27992 Console                    1     11,520 K
svchost.exe                  23148 Services                   0     21,472 K
svchost.exe                   5864 Services                   0      8,704 K
wpscloudsvr.exe              31036 Console                    1     11,948 K
wps.exe                       5632 Console                    1     37,336 K
promecefpluginhost.exe       28408 Console                    1     30,208 K
promecefpluginhost.exe       16860 Console                    1     21,532 K
MoUsoCoreWorker.exe           6260 Services                   0     23,900 K
svchost.exe                  13168 Services                   0     10,792 K
svchost.exe                  25212 Services                   0     18,688 K
MusNotifyIcon.exe            16540 Console                    1        924 K
node.exe                     27500 Console                    1    317,844 K
conhost.exe                   8764 Console                    1      1,068 K
chrome.exe                   26540 Console                    1    166,804 K
chrome.exe                   31124 Console                    1     32,096 K
node.exe                     29792 Console                    1     21,332 K
conhost.exe                  24592 Console                    1      9,624 K
cmd.exe                      15564 Console                    1      4,580 K
node.exe                      3812 Console                    1     15,804 K
svchost.exe                  28484 Services                   0      8,752 K
Lenovo.Modern.ImControlle    14228 Services                   0     41,924 K
chrome.exe                   10392 Console                    1     45,968 K
