pc,count
0x2F4B42,5
0x2F4B48,5
0x2F4B4A,5
0x2F4B4C,5
0x2F4B4E,5
0x2F4B50,5
0x2F4B52,5
0x2F4B62,5
0x2F4B64,5
0x2F4B66,5
0x2F4B68,5
0x2F4B6A,5
0x2F4B34,5
0x2F4B36,5
0x312C16,3
0x312C18,3
0x312C1A,3
0x312C1C,3
0x312C1E,3
0x312C20,3
0x312C22,3
0x312C24,3
0x312C26,3
0x312C28,3
0x312C2A,3
0x312C2C,3
0x312C2E,3
0x312C32,3
0x312C34,3
0x312C36,3
0x312C38,3
0x312C3A,3
0x312C3C,3
0x2DC8E8,2
0x2DC8EA,2
0x30BC40,2
0x30BC42,2
0x30BC44,2
0x30BC46,2
0x30BC48,2
0x30BC4A,2
0x30BC4C,2
0x30BC50,2
0x30BC52,2
0x30BC54,2
0x30BC56,2
0x30BC5A,2
0x2DC8EE,2
0x2DC8F0,2
0x2DC8F2,2
0x2DC8F4,2
0x2DC8F6,2
0x2DC8F8,2
0x2DC93E,2
0x2DC940,2
0x2DC952,2
0x2DC954,2
0x2DC956,2
0x2DC958,2
0x2DC95A,2
0x2DC95C,2
0x2DC960,2
0x2DC846,3
0x305EC2,3
0x305EC4,3
0x305EC6,3
0x305EC8,3
0x305ECA,3
0x305ECC,3
0x305ECE,3
0x305ED0,3
0x305ED2,3
0x305ED4,3
0x305ED6,3
0x305ED8,3
0x305EF8,3
0x30D300,10
0x30D302,10
0x30D304,10
0x30D306,10
0x30D308,10
0x30D30A,10
0x30D30C,10
0x30D30E,10
0x30D310,10
0x30D312,10
0x30D314,10
0x30D316,10
0x30D318,10
0x30D31A,10
0x30D31C,10
0x30D31E,10
0x30E166,3
0x30E168,3
0x2F98A0,4
0x2F98A2,4
0x2F98A4,4
0x2F98A8,4
0x304BB8,4
0x304BBA,4
0x304BBC,4
0x304BBE,4
0x304BC0,4
0x304BC2,4
0x304BC4,4
0x304BC6,4
0x304BC8,4
0x304BCA,4
0x304BCC,4
0x2F98AC,4
0x2F98AE,4
0x2F98B0,4
0x2D8FB4,4
0x2D8FB8,4
0x2D8FBC,4
0x2D9044,4
0x2D9048,4
0x2D904C,4
0x2D9050,4
0x2D9054,4
0x2D9058,4
0x2D905C,4
0x2D9060,4
0x2D9064,4
0x2D9068,4
0x2D906C,4
0x2D9070,4
0x2F98B4,4
0x2F98B6,4
0x30E16C,3
0x30D97A,3
0x30D5DC,10
0x30D5DE,10
0x30E19E,2
0x30E1A0,2
0x30E1A4,2
0x30E1A6,2
0x30D9B6,2
0x30E186,2
0x30E188,2
0x2D9600,2
0x2D9602,2
0x2D9604,2
0x2D9606,2
0x2D960E,2
0x2D9610,2
0x2D9612,2
0x2D963A,2
0x2D963C,2
0x2D9640,2
0x2D9642,2
0x2D960A,2
0x2D960C,2
0x30E18C,2
0x30D9A0,3
0x30E178,1
0x30E17A,1
0x30E17C,1
0x30E17E,1
0x30E180,1
0x2D92E4,5
0x2D92E6,5
0x2D92E8,5
0x2D92EA,5
0x2D92EC,5
0x2D93BC,3
0x30E184,1
0x30E196,1
0x30E198,1
0x3106A0,5
0x3106A2,5
0x3106A4,5
0x3106A6,5
0x3106A8,5
0x8F500,5
0x8F504,5
0x8F508,5
0x8F50C,5
0x8F510,5
0x8F514,5
0x8F518,14
0x8F51C,14
0x8F520,14
0x8F524,14
0x8F528,14
0x8F52C,14
0x8F530,14
0x8F534,5
0x8F538,5
0x8F53C,5
0x8F540,5
0x3106AA,5
0x30E19C,1
0x30D9AE,1
0x30E15E,1
0x30CBBC,1
0x30CBBE,1
0x30CBC0,1
0x30CBC2,1
0x30CBC4,1
0x30CBC6,1
0x30CBC8,1
0x30CBCA,1
0x30CBCC,1
0x30CBCE,1
0x30CBD0,1
0x30CBD2,1
0x30CBD4,1
0x30CBD6,1
0x30CBD8,1
0x30CBDA,1
0x30CBDC,1
0x30CBDE,1
0x30CBE0,1
0x30CBE2,1
0x30CBE4,1
0x30CBE6,1
0x30CBE8,1
0x30CBEA,1
0x30CBEC,1
0x30CBEE,1
0x30CBF0,1
0x30CBF2,1
0x30CBF4,1
0x30CBF6,1
0x30CBF8,1
0x30CBFA,1
0x30CBFC,1
0x30CBFE,1
0x30CC00,1
0x30CC02,1
0x30CC04,1
0x30CC06,1
0x30CC08,1
0x30CC0A,1
0x30CC0C,1
0x30CC0E,1
0x30CC10,1
0x30CC12,1
0x30CC14,1
0x30CC16,1
0x30CC18,1
0x30CC1A,1
0x30CC1C,1
0x30CC1E,1
0x30CC20,1
0x30CC22,1
0x30CC24,1
0x30CC26,1
0x30CC28,1
0x30CC2A,1
0x30CC2C,1
0x30CC2E,1
0x30CC30,1
0x30CC32,1
0x30CC34,1
0x30CC36,1
0x30CC38,1
0x30CC3A,1
0x30CC3C,1
0x30CC3E,1
0x30CC40,1
0x30CC42,1
0x30CC44,1
0x30CC46,1
0x30CC48,1
0x30CC4A,1
0x30CC4C,1
0x30CC4E,1
0x30CC50,1
0x30CC52,1
0x30CC54,1
0x30CC56,1
0x30CC58,1
0x30CC5A,1
0x30CC5C,1
0x30CC5E,1
0x30CC60,1
0x30CC62,1
0x30CC64,1
0x30CC66,1
0x30CC68,1
0x30CC6A,1
0x30CC6C,1
0x30CC6E,1
0x30CC70,1
0x30CC72,1
0x30CC74,1
0x30CC76,1
0x30CC78,1
0x30CC7A,1
0x30CC7C,1
0x30CC7E,1
0x30CC80,1
0x30CC82,1
0x30CC84,1
0x30CC86,1
0x30CC88,1
0x30CC8A,1
0x30CC8C,1
0x30CC8E,1
0x30CC90,1
0x30CC92,1
0x30CC94,1
0x30CC96,1
0x30CC98,1
0x30CC9A,1
0x30CC9C,1
0x30CC9E,1
0x30CCA0,1
0x30CCA2,1
0x30CCA4,1
0x30CCA6,1
0x30CCA8,1
0x30CCAA,1
0x30CCAC,1
0x30CCAE,1
0x30CCB0,1
0x30CCB2,1
0x30CCB4,1
0x30CCB6,1
0x305E30,3
0x305E32,3
0x305E34,3
0x305E36,3
0x305E38,3
0x305E3A,3
0x2D99AC,36
0x2D99AE,36
0x2D99B0,36
0x2D99B2,36
0x2D99B4,36
0x2D99B6,36
0x2D99B8,36
0x2D99BA,36
0x2D99BC,36
0x2D99BE,36
0x2D99C0,36
0x2D99C2,36
0x2D99C4,36
0x2D99C6,36
0x2D99C8,18
0x2D99CA,18
0x2D99CC,18
0x2D99CE,18
0x2D99D0,18
0x2D99D2,18
0x2D99D4,18
0x2D99D6,18
0x2D99D8,18
0x2D99DA,18
0x2D99DC,18
0x2D99DE,18
0x2D99E0,18
0x2D99E2,18
0x2D99E4,18
0x2D99E6,18
0x2D99EA,18
0x2D99EC,18
0x2D9AC4,36
0x2D9AC6,36
0x2D9AC8,36
0x2D9ACA,36
0x2D9ACC,36
0x2D9ACE,36
0x2D9AD0,36
0x28003C,44
0x2D9AD2,36
0x2D9AD4,36
0x2D9AD6,36
0x305E3E,3
0x305E40,3
0x305E44,3
0x305E46,3
# samples=20000 bbs=256
# bb=0x2D93D0
# bb=0x2D93EA
# bb=0x2D946C
# bb=0x2D94DE
# bb=0x2D9500
# bb=0x2D9522
# bb=0x2D9544
# bb=0x305E08
# bb=0x304558
# bb=0x280058
# bb=0x304588
# bb=0x305E26
# bb=0x2D954A
# bb=0x2D957C
# bb=0x280010
# bb=0x2D958E
# bb=0x3045E4
# bb=0x2D9594
# bb=0x2D9562
# bb=0x2FC3D6
# bb=0x2DAE1E
# bb=0x2E406A
# bb=0x2E4194
# bb=0x2E2E86
# bb=0x2DC8D8
# bb=0x312C0C
# bb=0x2F4B28
# bb=0x2F4B34
# bb=0x312C16
# bb=0x312C32
# bb=0x2DC8E8
# bb=0x30BC40
# bb=0x30BC50
# bb=0x30BC5A
# bb=0x2DC8EE
# bb=0x2DC93E
# bb=0x2DC952
# bb=0x2DC846
# bb=0x305EC2
# bb=0x305EF8
# bb=0x30D300
# bb=0x30E166
# bb=0x2F98A0
# bb=0x304BB8
# bb=0x2F98AC
# bb=0x2D8FB4
# bb=0x2D9044
# bb=0x2F98B4
# bb=0x30E16C
# bb=0x30D97A
# bb=0x30D5DC
# bb=0x30E19E
# bb=0x30E1A4
# bb=0x30D9B6
# bb=0x30E186
# bb=0x2D9600
# bb=0x2D963A
# bb=0x2D9640
# bb=0x2D960A
# bb=0x30E18C
# bb=0x30D9A0
# bb=0x30E178
# bb=0x2D92E4
# bb=0x2D93BC
