run_id,seq,from_pc,to_pc,r0,r1,r2,mapped_ptr,peek0,req_size,role,arg_class
ffp_validate_20260724_040748_40125,82,0x312A68,0x2D99AD,0xC,0x2A83C4,0x0,0x0,0x0,0xC,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,85,0x312A68,0x2D99AC,0xC,0x2A83C4,0x0,0x0,0x0,0xC,node_alloc_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,87,0x2D99AC,0x2D99AC,0xC,0x2A83C4,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,89,0x2D99AE,0x2D99AC,0xC,0x2A83C4,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,90,0x0,0x10138,0x27FF78,0x27FF74,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,91,0x304A9A,0x80160,0x14,0x80160,0x0,0x0,0x0,0x14,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,93,0x2D9AD0,0x94E34,0x2A83D8,0x0,0x0,0x2A83D8,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,95,0x94E34,0x94E34,0x2A83D8,0x0,0x0,0x2A83D8,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,99,0x0,0x101AB,0x6AD11C,0x27FFD8,0x0,0x6AD11C,0x0,0x0,plat_101ab_fill,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,103,0x2E4EAE,0x2D99AD,0x4,0x27FFA4,0x0,0x0,0x0,0x4,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,106,0x2D99AC,0x2D99AC,0x4,0x27FFA4,0x0,0x0,0x0,0x4,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,108,0x2D99AE,0x2D99AC,0x4,0x27FFA4,0x0,0x0,0x0,0x4,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,109,0x0,0x10138,0x27FF80,0x27FF7C,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,110,0x304A9A,0x80160,0xC,0x80160,0x0,0x0,0x0,0xC,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,112,0x2D9AD0,0x94E34,0x2A83A8,0x0,0x0,0x2A83A8,0x0,0x0,cross_dsm_mem,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,114,0x94E34,0x94E34,0x2A83A8,0x0,0x0,0x2A83A8,0x0,0x0,dsm_mem_r0,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,115,0x2E4EB6,0x2D99AD,0xC,0x0,0x0,0x0,0x0,0xC,indirect_to_heap_helper,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,118,0x2D99AC,0x2D99AC,0xC,0x0,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,120,0x2D99AE,0x2D99AC,0xC,0x0,0x0,0x0,0x0,0xC,heap_helper_size,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,121,0x0,0x10138,0x27FF80,0x27FF7C,0x0,0x0,0x0,0x0,plat_10138_heap_gate,NODE_ALLOC_REQUEST_INVALID
ffp_validate_20260724_040748_40125,122,0x304A9A,0x80160,0x14,0x80160,0x0,0x0,0x0,0x14,dsm_mr_malloc,NODE_ALLOC_REQUEST_INVALID
