target_mrp,side_pack_dir,pack_name,pack_path,member_count,appid,appver,sha256,is_downimage,ready
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,man2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/man2.mrp,23,0x7534,0x65,d5537ce5a265887bed05721d987e2f4d2c7e9e8ddf5555b52904f397c9640e43,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,man3,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/man3.mrp,21,0x7534,0x65,d2783d4593b6e97a8092082b3c755f6ced4a46af8e63fecefe1372856466d5cf,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mantecimg,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mantecimg.mrp,2,0x7534,0x65,f9601e2afbd7faba3b0308ab421194f0a95f5b9e1ce66c21a1ef62193345b07d,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mapimage1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mapimage1.mrp,14,0x7534,0x65,1fa2d3d845d558d8075d475288d9e6d762fda88b79421afd5066c78e76ec89b0,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mapimage2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mapimage2.mrp,10,0x7534,0x65,e558a1429caac32d3b2abb4643cf7e5b0c88e1225ecc2ba8758f663ace34f7ac,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mapman,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mapman.mrp,2,0x7534,0x65,80a70f6b84ff6ba026b5f22945f6af040198d52b2fe9685184ca170994dda508,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mapValue,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mapValue.mrp,2,0x7534,0x65,2042fab51d0300d52d960a11b29348171f1920bb5dd96dbfe90554420517c53f,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster.mrp,2,0x7534,0x65,121a896a42417d0bb620bb881a5f04384b1c949cc8d6bb1935eb9dce598644ff,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster1.mrp,53,0x7534,0x65,27d2b23d6c66e4f0fcc70c3de6b55d22fec56d3b93148a4e944b4846a56a4545,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster10,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster10.mrp,25,0x7534,0x65,54ae5ad1fb2f4aec9c879ecfdce89c595d76904933ce293ef2d4a0f537373b29,0,1
