mrp,mrp_sha256,member,offset,stored_length,decoded_length,encoding
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,top!76!28.bmp,8695,1321,4256,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jiantou!12!15.bmp,10042,108,360,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_xian0!15!6.bmp,10176,42,180,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao0!10!10.bmp,10245,89,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_xian3!15!5.bmp,10360,36,150,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,wy_jiao32!10!10.bmp,10424,48,200,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jiao41!12!12.bmp,10497,90,288,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,jiantou_x!12!10.bmp,10615,45,240,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,slogo!157!58.bmp,10685,11897,18212,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,bigworldmapmodule.ext,22612,8741,17360,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,mainmenumodule.ext,31380,15300,28712,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,mailmodule.ext,46703,14778,27692,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,moduletest.ext,61504,7200,15152,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,chatmodule.ext,68727,8857,15228,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,gezimodule.ext,77607,4261,7356,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,taobaomodule.ext,81893,9352,16504,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,gameattackmodule.ext,91274,26089,47368,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,monsterstatemodule.ext,117394,10663,18712,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,itembagshopmodule.ext,128087,20439,43420,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,viewmanmodule.ext,148552,10976,19436,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,betmodule.ext,159550,8327,14512,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,monstermodule.ext,167903,8870,19256,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,leitaimodule.ext,176798,11387,21248,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,reg.ext,188201,1381,2472,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,lianmengmodule.ext,189609,17529,36216,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,othermodule.ext,207162,24412,46708,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,robotol.ext,231594,161178,253420,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,shopmodule.ext,392795,8820,14836,gzip
jjfb.mrp,52c13182f87f5ba14bed64589e7f47cb2860a56b32c91fdb25ab13467d5fc036,itemhechengmodule.ext,401645,12957,25136,gzip
